CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Burial Date c.,From,To,From date,To date
,,,,,,,,9.222,,,Early 2nd cent. BC,200,170,-200,-170
,,,,,,,,9.235,,232,171-169 BC,171,169,-171,-169
,,,,,,,,9.236,,,170 BC,170,170,-170,-170
,,,,,,,8.419,9.238,,,170 BC,170,170,-170,-170
,,,,,,,8.425,9.239,,,170 BC,170,170,-170,-170
,,,,,,,,9.240,,,170BC,170,170,-170,-170
,,,,,,,,9.243,,233,168 BC,168,168,-168,-168
,,,,,,,8.085,9.247,,237,165 BC,165,165,-165,-165
,,,,,,,,9.248,,,160 BC,160,160,-160,-160
,,,,,,,,9.253,,,Mid 2nd cent. BC,170,130,-170,-130
,,,,,,,,9.314,,,86 BC,86,86,-86,-86
,,,,,,,,9.319,,,Mid 1st cent. BC,70,30,-70,-30
,,,,,,,,9.333,,1154,Third quarter 7th cent. BC,650,625,-650,-625
,,,,,,,8.600,9.334,,,600-550 BC,600,550,-600,-550
,,,,,,,,9.335,,,600 BC,600,600,-600,-600
,,,,,,,,9.336,,,575 BC,575,575,-575,-575
,,,,,,,,9.337,,,575 BC,575,575,-575,-575
,,,,,,,,9.338,,,Early 6th cent. BC,600,570,-600,-570
,,,,,,,,9.339,,1157,575 BC,575,575,-575,-575
,,,,,,,,9.340,,1158,575-560 BC,575,560,-575,-560
,,,,,,,,9.341,,,Early 6th cent. BC,600,570,-600,-570
,,,,,,,,9.342,,,525 BC,525,525,-525,-525
,,,,,,,,9.343,,1789,511-500 BC,511,500,-511,-500
,,,,,,,,9.344,,1166,500 BC,500,500,-500,-500
,,,,,,,,9.345,,1169,500-480 BC,500,480,-500,-480
,,,,,,,8.019,9.347,,,500 BC,500,500,-500,-500
,,,,,,,8.038,9.348,,1170,480 BC,480,480,-480,-480
,,,,,,,,9.349,,,480 BC,480,480,-480,-480
,,,,,,,,9.350,,,Second quarter of 5th cent. BC,475,450,-475,-450
,,,,,,,,9.354,,,460 BC,460,460,-460,-460
,,,,,,,,9.355,,1482,454 BC,454,454,-454,-454
,,,,,,,8.587,9.356,,,450 BC,450,450,-450,-450
,,,,,,,8.587,9.357,,1481,450 BC,450,450,-450,-450
,,,,,,,8.047,9.358,,,445-435 BC,445,435,-445,-435
,,,,,,,,9.359,,,440 BC,440,440,-440,-440
,,,,,,,,9.361,,,Late 5th cent. BC,430,400,-430,-400
,,,,,,,8.587,9.362,,1483,425-420 BC,425,420,-425,-420
1.014,,,,,,,8.587,9.363,,,425 BC,425,425,-425,-425
,,,,,,,8.009|8.587,9.364,,1747,420-400 BC,420,400,-420,-400
,,,,,,,,9.365,,,420 BC,420,420,-420,-420
,,,,,,,,9.370,,,400 BC,400,400,-400,-400
,,,,,,,,9.371,,,4th cent. BC,400,300,-400,-300
,,,,,,,,9.375,,,4th-2nd cent. BC,400,100,-400,-100
,,,,,,,,9.376,,,Early 4th cent. BC,400,370,-400,-370
,,,,,,,8.587,9.377,,1256,Early 4th cent. BC,400,370,-400,-370
,,,,,,,,9.379,,1247,400 BC,400,400,-400,-400
,,,,,,,,9.380,,1197,400 BC,400,400,-400,-400
,,,,,,,,9.385,,,400-350 BC,400,350,-400,-350
,,,,,,,,9.388,,1201,390 BC,390,390,-390,-390
,,,,,,,8.093,9.389,,,380 BC,380,380,-380,-380
,,,,,,,8.091,9.390,,,380 BC,380,380,-380,-380
,,,,,,,8.587,9.391,,1259,380 BC,380,380,-380,-380
,,,,,,,,9.392,,,380 BC,380,380,-380,-380
,,,,,,,,9.393,,,380 BC,380,380,-380,-380
,,,,,,,,9.394,,,380 BC,380,380,-380,-380
,,,,,,,,9.401,,1263,370 BC,370,370,-370,-370
,,,,,,,,9.402,,,370 BC,370,370,-370,-370
,,,,,,,,9.403,,,370-360 BC,370,360,-370,-360
,,,,,,,8.587,9.404,,1500,368-333 BC,368,333,-368,-333
,,,,,,,,9.407,,1214,365 BC,365,365,-365,-365
,,,,,,,,9.408,,,360 BC,360,360,-360,-360
,,,,,,,8.587,9.409,,1252,350 BC,350,350,-350,-350
,,,,,,,,9.410,,,Mid 4th cent. BC,370,330,-370,-330
,,,,,,,,9.412,,1218,350 BC,350,350,-350,-350
,,,,,,,,9.415,,,350-325 BC,350,325,-350,-325
,,,,,,,,9.416,,,Mid 4th cent. BC,370,330,-370,-330
,,,,,,,,9.417,,,350 BC,350,350,-350,-350
,,,,,,,,9.418,,1266,345 BC,345,345,-345,-345
,,,,,,,,9.420,,,340-330 BC,340,330,-340,-330
,,,,,,,8.143,9.422,,,340 BC,340,340,-340,-340
,,,,,,,,9.424,,1211,340 BC,340,340,-340,-340
,,,,,,,8.587,9.436,,1515,333 BC,333,333,-333,-333
,,,,,,,,9.440,,1504,333/2 BC,333,332,-333,-332
,,,,,,,8.587,9.450,,1762,330 BC,330,330,-330,-330
,,,,,,,,9.454,,,Late 4th cent. BC,330,300,-330,-300
,,,,,,,,9.458,,,Late 4th cent. BC,330,300,-330,-300
,,,,,,,,9.459,,,Late 4th cent. BC,330,300,-330,-300
,,,,,,,8.189,9.460,,,322 BC,322,322,-322,-322
,,,,,,,8.587,9.462,,1510,320 BC,320,320,-320,-320
,,,,,,,,9.463,,,Late 4th cent. BC,330,300,-330,-300
,,,,,,,,9.464,,,Late 4th cent. BC,330,300,-330,-300
,,,,,,,,9.465,,,320 BC,320,320,-320,-320
,,,,,,,,9.466,,1471,305 BC,305,305,-305,-305
,,,,,,,,9.467,,,Late 4th/early3rd cent. BC,330,270,-330,-270
,,,,,,,,9.470,,,300 BC,300,300,-300,-300
