"value","uri","type"
"teucheira","http://nomisma.org/id/teucheira","mint"
"thasos","http://nomisma.org/id/thasos","mint"
"thasoss","",""
"the_thracian_chersonese","",""
"the_thracian_chersonesus","http://nomisma.org/id/the_thracian_chersonesus","head_1911_region"
"thebae","http://nomisma.org/id/thebae","mint"
"thebes","http://nomisma.org/id/thebes","mint"
"thera","http://nomisma.org/id/thera","mint"
"therma","http://nomisma.org/id/therma","mint"
"thermae_himerenses","http://nomisma.org/id/thermae_himerenses","mint"
"thespiae","http://nomisma.org/id/thespiae","mint"
"thessalian_league","http://nomisma.org/id/thessalian_league","mint"
"thessalonica","http://nomisma.org/id/thessalonica","mint"
"thessaly","http://nomisma.org/id/thessaly","head_1911_region"
"thrace","http://nomisma.org/id/thrace","head_1911_region"
"thraco-macedonian","http://nomisma.org/id/thraco-macedonian","mint"
"thurium","http://nomisma.org/id/thurium","mint"
"thyatira","http://nomisma.org/id/thyatira","mint"
"thyrrheium","http://nomisma.org/id/thyrrheium","mint"
"tiryns","http://nomisma.org/id/tiryns","mint"
"tlos","http://nomisma.org/id/tlos","mint"
"tomis","http://nomisma.org/id/tomis","mint"
"tralles","http://nomisma.org/id/tralles","mint"
"trapezus","http://nomisma.org/id/trapezus","mint"
"tricca","http://nomisma.org/id/tricca","mint"
"tripolis_phoenicia","http://nomisma.org/id/tripolis_phoenicia","mint"
"tylisus","http://nomisma.org/id/tylisus","mint"
"tyras","http://nomisma.org/id/tyras","mint"
"tyre","http://nomisma.org/id/tyre","mint"
"uranopolis","http://nomisma.org/id/uranopolis","mint"
"valentia","http://nomisma.org/id/valentia","mint"
"veila","",""
"velia","http://nomisma.org/id/velia","mint"
"vetulonia","http://nomisma.org/id/vetulonia","mint"
